Body_type,Kilometer_Driven,Transmission,Owner_No.,Original_equipment_manufacturer,Model,Model_year,Variant_name,Price,Insurance_validity,Fuel_type,Seats,Engine_displacement,Year_of_manufacture,Mileage,Max_power,Torque,Colour,Location,Features,Interior,Exterior
Hatchback,120000,Manual,3,Maruti,Maruti Celerio,2015,VXI,0.5158737831607508,Third Party insurance,Petrol,5,998,2015,23.1,67.04,90,White,Bangalore,8,3,29
SUV,32706,Manual,2,Ford,Ford Ecosport,2018,1.5 Petrol Titanium BSIV,0.5159724962009459,Comprehensive,Petrol,5,1497,2018,17.0,121.31,150,White,Bangalore,9,3,27
Hatchback,11949,Manual,1,Tata,Tata Tiago,2018,1.2 Revotron XZ,0.5159182160377243,Comprehensive,Petrol,5,1199,2018,23.84,84.0,114,Red,Bangalore,9,3,30
Sedan,17794,Manual,1,Hyundai,Hyundai Xcent,2014,1.2 Kappa S Option,0.5158886741789798,Comprehensive,Petrol,5,1197,2014,19.1,81.86,113,Others,Bangalore,9,3,28
SUV,60000,Manual,1,Maruti,Maruti SX4 S Cross,2015,DDiS 200 Zeta,0.515967452468965,Third Party insurance,Diesel,5,1248,2015,23.65,88.5,200,Gray,Bangalore,9,3,27
SUV,20000,Manual,1,Jeep,Jeep Compass,2020,2.0 Longitude BSIV,0.5162340497308054,Third Party insurance,Diesel,5,1956,2020,17.1,170.0,350,Others,Bangalore,9,2,24
Hatchback,37772,Manual,1,Datsun,Datsun GO,2017,T Option BSIV,0.5158605733865156,Comprehensive,Petrol,5,1198,2017,20.63,67.0,104,Grey,Bangalore,9,3,26
SUV,30000,Automatic,1,Hyundai,Hyundai Venue,2021,SX Plus Turbo DCT BSIV,0.5160659253314466,Third Party insurance,Petrol,5,998,2021,18.15,118.35,171,Others,Bangalore,9,2,22
Sedan,37000,Automatic,1,Maruti,Maruti Ciaz,2018,Alpha Automatic BSIV,0.5160082826802379,Comprehensive,Petrol,5,1462,2018,20.28,103.25,138,Maroon,Bangalore,9,3,26
Hatchback,11949,Manual,1,Tata,Tata Tiago,2017,1.2 Revotron XZ WO Alloy,0.5159182160377243,Comprehensive,Petrol,5,1199,2017,23.84,84.0,114,Red,Bangalore,9,3,28
